prompt_id,model_name,control,mode,eci_raw,eci_residualized,early_eci_raw,effective_ranks,participation_ratios,variances,window_starts,window_ends
qa090,microsoft/phi-2,none,natural_long,0.004937792908061636,0.004937792908061636,0.008589768409729002,"[98.11541748046875, 95.41812896728516, 93.26751708984375, 100.6647720336914, 100.63471984863281, 98.85099029541016, 95.0306167602539, 99.57594299316406, 97.98014831542969, 100.19140625, 99.97798156738281]","[69.62520599365234, 65.96533203125, 62.428504943847656, 74.16038513183594, 74.50470733642578, 69.49153900146484, 65.0516128540039, 70.91942596435547, 69.75999450683594, 73.804931640625, 72.21859741210938]","[1.171875, 1.205078125, 1.2060546875, 1.322265625, 1.275390625, 1.1474609375, 1.115234375, 1.1474609375, 1.1796875, 1.2626953125, 1.189453125]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa091,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa092,microsoft/phi-2,none,natural_long,0.0013228286396373408,0.0013228286396373408,0.01143858432769775,"[97.6553726196289, 98.97200775146484, 95.59162902832031, 101.22239685058594, 101.5617904663086, 99.30561828613281, 98.44740295410156, 98.82807922363281, 97.61840057373047, 97.75731658935547, 100.85420989990234]","[68.64290618896484, 71.2637710571289, 69.18897247314453, 75.53768920898438, 75.30811309814453, 73.1091537475586, 72.32068634033203, 72.42481231689453, 71.24894714355469, 71.39254760742188, 75.0169448852539]","[1.1923828125, 1.2392578125, 1.28515625, 1.3193359375, 1.322265625, 1.2822265625, 1.2431640625, 1.2119140625, 1.193359375, 1.1865234375, 1.2119140625]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa093,microsoft/phi-2,none,natural_long,0.006667951020327485,0.006667951020327485,0.0009915590286254875,"[98.61780548095703, 99.78251647949219, 98.03683471679688, 99.4112319946289, 100.76480102539062, 101.4800796508789, 100.83406066894531, 103.32169342041016, 101.75579071044922, 102.52806091308594, 102.00043487548828]","[70.99171447753906, 72.95783996582031, 70.63465881347656, 72.62235260009766, 75.04742431640625, 76.9682388305664, 75.29578399658203, 79.07535552978516, 76.97836303710938, 78.02145385742188, 78.5270767211914]","[1.1943359375, 1.2158203125, 1.1875, 1.2158203125, 1.24609375, 1.2666015625, 1.2451171875, 1.2705078125, 1.287109375, 1.2685546875, 1.296875]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa094,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[87.10301971435547],[56.17715072631836],[1.07421875],[0],[128]
qa095,microsoft/phi-2,none,natural_long,-0.04882125854492187,-0.04882125854492187,-0.04882125854492187,"[100.57744598388672, 95.83365631103516, 92.7099838256836, 91.2034683227539]","[73.92001342773438, 70.10072326660156, 68.12562561035156, 65.48929595947266]","[1.2568359375, 1.3359375, 1.4013671875, 1.353515625]","[0, 64, 128, 192]","[128, 192, 256, 320]"
qa096,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[95.38182067871094],[64.9162368774414],[1.1708984375],[0],[128]
qa097,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa098,microsoft/phi-2,none,natural_long,-0.005313462018966675,-0.005313462018966675,-0.021961057186126707,"[101.26690673828125, 101.84161376953125, 101.23485565185547, 96.78413391113281, 98.56867980957031, 100.2080307006836, 99.07684326171875, 99.96624755859375, 97.79553985595703]","[74.63355255126953, 77.16706848144531, 75.82313537597656, 70.46725463867188, 74.10383605957031, 75.17274475097656, 73.13306427001953, 74.32904815673828, 72.41490173339844]","[1.212890625, 1.2822265625, 1.2919921875, 1.3212890625, 1.333984375, 1.3134765625, 1.28515625, 1.248046875, 1.26171875]","[0, 64, 128, 192, 256, 320, 384, 448, 512]","[128, 192, 256, 320, 384, 448, 512, 576, 640]"
qa099,microsoft/phi-2,none,natural_long,-0.008807505260814322,-0.008807505260814322,-0.005166387557983399,"[96.86714935302734, 91.8147964477539, 93.55231475830078, 95.1858139038086, 96.83878326416016, 96.40293884277344, 98.2741928100586, 96.04212188720703, 88.21090698242188, 90.14242553710938, 88.37931823730469]","[67.90917205810547, 65.3675765991211, 66.17537689208984, 67.13785552978516, 69.39036560058594, 68.77352142333984, 71.40249633789062, 69.94694519042969, 61.69011688232422, 63.59263610839844, 60.9989128112793]","[1.19921875, 1.1943359375, 1.1708984375, 1.1728515625, 1.1953125, 1.177734375, 1.2001953125, 1.244140625, 1.220703125, 1.2333984375, 1.23828125]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa100,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa101,microsoft/phi-2,none,natural_long,-0.000911840525540439,-0.000911840525540439,-0.008094394207000734,"[98.09314727783203, 98.97503662109375, 91.30310821533203, 98.92365264892578, 99.39311981201172, 101.70466613769531, 93.48078155517578, 91.64472961425781, 96.37895202636719, 99.69168853759766, 97.28448486328125]","[69.69551086425781, 71.22345733642578, 63.40498733520508, 73.92865753173828, 72.85417938232422, 75.9701919555664, 67.05416870117188, 64.18486785888672, 69.26891326904297, 75.01641845703125, 71.79450225830078]","[1.203125, 1.1962890625, 1.1669921875, 1.26953125, 1.2529296875, 1.294921875, 1.294921875, 1.234375, 1.224609375, 1.33984375, 1.3095703125]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa102,microsoft/phi-2,none,natural_long,0.001203477382659912,0.001203477382659912,0.022594130039215087,"[96.88136291503906, 98.47340393066406, 101.59163665771484, 100.66203308105469, 99.36359405517578, 101.45870208740234, 102.29243469238281, 99.55411529541016, 97.82595825195312, 99.75849914550781, 99.66458892822266]","[67.82738494873047, 72.22142791748047, 76.52771759033203, 74.15805053710938, 71.57914733886719, 74.03718566894531, 76.38510131835938, 74.4378433227539, 72.13847351074219, 74.6591796875, 74.78141784667969]","[1.146484375, 1.23828125, 1.3115234375, 1.28515625, 1.2109375, 1.2060546875, 1.2841796875, 1.259765625, 1.23828125, 1.2744140625, 1.244140625]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa103,microsoft/phi-2,none,natural_long,-0.001254776391116055,-0.001254776391116055,0.007763803005218504,"[96.76364135742188, 92.34510803222656, 93.69664764404297, 97.96940612792969, 98.24049377441406, 96.30025482177734, 97.36300659179688, 92.79329681396484, 91.8898696899414, 95.93986511230469, 95.45111846923828]","[67.6688461303711, 61.46599578857422, 62.33256912231445, 69.91920471191406, 69.45204162597656, 65.51397705078125, 66.64327239990234, 59.80043411254883, 56.99998092651367, 64.7763442993164, 65.21465301513672]","[1.20703125, 1.1484375, 1.1259765625, 1.234375, 1.232421875, 1.1474609375, 1.1416015625, 1.0595703125, 0.95458984375, 1.1064453125, 1.12109375]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa104,microsoft/phi-2,none,natural_long,0.008783723368789211,0.008783723368789211,-0.02514712810516358,"[100.99011993408203, 96.1881332397461, 92.77285766601562, 96.76382446289062, 101.81199645996094, 99.59608459472656, 98.75214385986328, 101.18489837646484, 102.155517578125, 101.56513977050781]","[73.63766479492188, 69.21517944335938, 65.6624755859375, 71.63082122802734, 77.4440689086914, 73.1199722290039, 72.37051391601562, 76.97413635253906, 77.11531066894531, 75.6554183959961]","[1.2138671875, 1.208984375, 1.1826171875, 1.2578125, 1.279296875, 1.201171875, 1.1884765625, 1.298828125, 1.33203125, 1.2626953125]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704]"
qa105,microsoft/phi-2,none,natural_long,-0.009638276838120963,-0.009638276838120963,-0.004974246025085448,"[101.5013656616211, 102.34518432617188, 102.54859161376953, 100.37239074707031, 101.86357116699219, 100.86599731445312, 98.67938232421875, 97.2256851196289]","[74.63227844238281, 77.91937255859375, 78.06349182128906, 74.03591918945312, 77.39584350585938, 76.64844512939453, 72.62364196777344, 71.94004821777344]","[1.197265625, 1.3037109375, 1.29296875, 1.2236328125, 1.294921875, 1.2734375, 1.1962890625, 1.24609375]","[0, 64, 128, 192, 256, 320, 384, 448]","[128, 192, 256, 320, 384, 448, 512, 576]"
qa106,microsoft/phi-2,none,natural_long,0.002335846424102784,0.002335846424102784,-0.010493743419647216,"[99.6938705444336, 100.47624969482422, 102.9407730102539, 96.63369750976562, 99.31277465820312, 103.30716705322266, 102.86100006103516, 104.23216247558594, 99.84915161132812, 97.77185821533203, 103.252197265625]","[70.11085510253906, 74.1722412109375, 77.99787139892578, 70.31961059570312, 74.35501098632812, 78.81692504882812, 78.84349060058594, 81.26510620117188, 74.56670379638672, 71.94673156738281, 80.2684326171875]","[1.2001953125, 1.2822265625, 1.3037109375, 1.2529296875, 1.2578125, 1.29296875, 1.3369140625, 1.3447265625, 1.306640625, 1.29296875, 1.36328125]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa107,microsoft/phi-2,none,natural_long,0.003577396002682774,0.003577396002682774,-0.0064238071441650385,"[100.9622802734375, 99.05992126464844, 99.80683898925781, 99.3428955078125, 97.62316131591797, 99.66549682617188, 97.6458740234375, 100.55989074707031, 104.26576232910156, 100.984619140625, 101.29280090332031]","[73.66436004638672, 73.19020080566406, 74.0916519165039, 73.89225006103516, 71.82819366455078, 74.94189453125, 71.13793182373047, 75.19910430908203, 80.95028686523438, 75.87207794189453, 76.51747131347656]","[1.283203125, 1.3203125, 1.3525390625, 1.3369140625, 1.287109375, 1.326171875, 1.2587890625, 1.248046875, 1.28125, 1.31640625, 1.3447265625]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa108,microsoft/phi-2,none,natural_long,0.009774083440954042,0.009774083440954042,-0.020181584358215324,"[97.89781188964844, 96.8754653930664, 100.47284698486328, 92.39328002929688, 94.2472152709961, 103.57766723632812, 102.09483337402344, 100.69103240966797, 100.33057403564453, 103.69854736328125, 101.39799499511719]","[69.99907684326172, 69.46533203125, 75.26280212402344, 65.6586685180664, 68.19502258300781, 80.5244140625, 77.65313720703125, 75.83077239990234, 75.89945220947266, 80.27220916748047, 76.08606719970703]","[1.1962890625, 1.216796875, 1.2705078125, 1.26953125, 1.3115234375, 1.3154296875, 1.28515625, 1.3017578125, 1.349609375, 1.3310546875, 1.2294921875]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa109,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa110,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa111,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[94.04363250732422],[63.81783676147461],[1.203125],[0],[128]
qa112,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa113,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[93.41020965576172],[64.32968139648438],[1.2275390625],[0],[128]
qa114,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa115,microsoft/phi-2,none,natural_long,0.0045876849781383185,0.0045876849781383185,-0.006497395038604735,"[101.38030242919922, 100.6045913696289, 101.06941986083984, 99.83924865722656, 101.4749984741211, 101.4879150390625, 103.26919555664062, 105.11420440673828, 104.0038833618164, 101.61478424072266, 102.80210876464844]","[73.71525573730469, 75.07487487792969, 77.79398345947266, 75.2620849609375, 75.62281036376953, 76.43352508544922, 79.2038803100586, 82.40281677246094, 79.93228912353516, 75.32656860351562, 79.2485580444336]","[1.24609375, 1.3076171875, 1.376953125, 1.3369140625, 1.3095703125, 1.4033203125, 1.392578125, 1.3720703125, 1.3828125, 1.3271484375, 1.376953125]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa116,microsoft/phi-2,none,natural_long,0.003819315000013873,0.003819315000013873,0.005721795558929442,"[98.87960052490234, 103.10096740722656, 103.1897964477539, 100.07064056396484, 103.08975982666016, 103.83367156982422, 102.58673858642578, 101.5990982055664, 104.75563049316406, 102.68828582763672, 103.1370620727539]","[70.62110900878906, 78.14606475830078, 79.58924865722656, 74.16409301757812, 78.84795379638672, 80.31459045410156, 78.3996810913086, 76.8064193725586, 82.11273956298828, 79.84300994873047, 79.70500946044922]","[1.259765625, 1.369140625, 1.369140625, 1.302734375, 1.34765625, 1.3447265625, 1.3740234375, 1.3759765625, 1.4013671875, 1.40234375, 1.4287109375]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576, 640]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768]"
qa117,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa118,microsoft/phi-2,none,natural_long,0.052056074142456034,0.052056074142456034,0.052056074142456034,"[94.79309844970703, 94.52157592773438, 101.4562759399414]","[65.59208679199219, 68.54105377197266, 78.33475494384766]","[1.2119140625, 1.39453125, 1.4560546875]","[0, 64, 128]","[128, 192, 256]"
qa119,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa120,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa121,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa122,microsoft/phi-2,none,natural_long,0.011683564475088408,0.011683564475088408,0.02232961654663086,"[96.67546081542969, 101.37039184570312, 101.91351318359375, 101.25807189941406, 104.11563110351562, 101.93586730957031, 104.27750396728516, 103.62998962402344, 105.70549774169922, 105.29454803466797]","[67.41740417480469, 74.9699935913086, 75.95133209228516, 76.33853149414062, 80.61898040771484, 76.26322174072266, 80.78833770751953, 79.06185913085938, 84.36894989013672, 84.92620086669922]","[1.203125, 1.2548828125, 1.2685546875, 1.318359375, 1.37109375, 1.3427734375, 1.4111328125, 1.365234375, 1.44140625, 1.466796875]","[0, 64, 128, 192, 256, 320, 384, 448, 512, 576]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704]"
qa123,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
